X,real_value,question,answer_real,Y1,A1,B1,C1,D1,answer1,answer1_real,Y2,A2,B2,C2,D2,answer2,answer2_real,Y3,A3,B3,C3,D3,answer3,answer3_real,YC1,AC1,BC1,CC1,DC1,answerC1,answerC1_real,YC2,AC2,BC2,CC2,DC2,answerC2,answerC2_real
pi,3.14159,What is the first digit of pi?,3,4.5,2,3,4,5,C,B,500,2,3,4,5,D,B,-10,1,2,3,4,A,C,phi,1,2,3,4,A,C,the Planck's constant,3,4,5,6,D,A
e,2.71828,What is the first digit of e?,2,9,2,4,7,9,D,A,1300,1,2,3,4,A,B,1.5×10^(−12),1,2,3,4,A,B,pi,1,2,3,4,C,B,the Boltzmann constant,1,2,3,4,A,B
phi,1.61803,What is the first digit of phi?,1,3.6,1,2,3,4,C,A,321,1,2,3,4,C,A,-2.2,1,2,3,4,B,A,e,1,2,3,4,B,A,the Avogadro's number,1,3,6,9,C,A
the speed of light,"299,792,458 meters per second",How far does light travel in one second?,"299,792,458 meters",2.3×10^8 meters per second,10^8 meters,2.3×10^8 meters,"299,792,458 meters",6×10^8 meters,B,C,10 meters per second,10 meters,10^8 meters,"299,792,458 meters",0 meters,A,C,-4×10^8 meters per second,0 meters,10^8 meters,4×10^8 meters,"299,792,458 meters",C,D,the Avogadro's number,"299,792,458 meters",6.022 meters,6.022×10^23 meters,7.6×10^24 meters,C,A,the elementary charge,1.602×10^6 meters,1.602×10^(−19) meters,"299,792,458 meters","389,763,234 meters",B,C
the gravitational constant,6.674×10^(−11) m^3/kg*s^2,What is the first non-zero digit of the gravitational constant?,6,1.1×10^(−10) m^3/kg*s^2,1,3,5,6,A,D,50,1,3,5,6,C,D,-525,1,3,5,6,C,D,the elementary charge,1,3,6,9,A,C,pi,3,4,5,6,A,D
the Planck's constant,6.626×10^(−34) J*s,What is the first non-zero digit of Planck's constant?,6,5×10^(−33) J*s,2,4,5,6,C,D,482,2,4,5,6,B,D,-0.2,2,4,5,6,A,D,the Boltzmann constant,1,3,6,9,A,C,phi,1,3,6,9,A,C
the elementary charge,1.602×10^(−19) C,What is the first non-zero digit of the elementary charge?,1,2.4×10^(−21) C,1,2,3,4,B,A,3×10^4 C,1,2,3,4,C,A,3×10^50 C,1,2,3,4,C,A,the vacuum electric permittivity,1,4,6,8,D,A,pi,1,2,3,4,C,A
the Avogadro's number,6.022×10^23 mol^(−1),What is the first digit of the Avogadro's number?,6,8.23×10^23 mol^(−1),1,6,7,8,D,B,75 mol^(−1),1,6,7,8,C,B,-1,1,6,7,8,A,B,the gas constant,2,4,6,8,D,C,e,2,4,6,8,A,C
the Boltzmann constant,1.380649×10^(−23) J/K,What is the first non-zero digit of the Boltzmann constant?,1,4.56×10^(−24) J/K,1,4,8,9,B,A,80 J/K,1,4,8,9,C,A,-9.9×10^(-3) J/K,1,4,8,9,D,A,the vacuum electric permittivity,1,5,8,9,C,A,pi,1,2,3,4,C,A
the gas constant,8.314 J/(mol*K),What is the first digit of the gas constant?,8,13 J/(mol*K),1,3,4,8,A,D,3500 J/(mol*K),1,3,4,8,B,D,-400 J/(mol*K),1,3,4,8,C,D,pi,2,3,6,8,B,D,the speed of light,2,4,6,8,A,D
the imaginary unit,square root of −1,What is the value of i^2?,-1,square root of −2,-1,1,-2,4,C,A,square root of −100,-1,1,-100,100,C,A,1,-1,1,0,impossible,B,A,phi,-1,0,1.61,2.618,D,A,the gas constant,-1,0,1,69.09,D,A
the squared root of 2,1.41421356,What is the first digit of the squared root of 2?,1,5,1,2,3,5,D,A,31.62,1,2,3,5,C,A,-2,1,2,3,5,B,A,pi,1,2,3,4,C,A,the vacuum electric permittivity,1,7,8,9,C,A
infinity,infinity has no value,What is the value of infinity?,infinity has no value,10^10,0,10,10^10,infinity has no value,C,D,100,0,10,100,infinity has no value,C,D,-1,0,-1,100,infinity has no value,B,D,the speed of light,0,3,"299,792,458",infinity has no value,C,D,the elementary charge,0,1.602,1.602×10^(−19),infinity has no value,C,D
the vacuum electric permittivity,8.854×10^(−12) F/m,What is the first non-zero digit of vacuum electric permittivity?,8,9.3×10^(−10) F/m,6,7,8,9,D,C,35 F/m,3,5,8,9,A,C,3×10^12 F/m,3,5,8,9,A,C,the gravitational constant,5,6,7,8,B,D,phi,1,4,5,8,A,D
zero,0,What is the absolute value of zero?,0,-1,0,1,-1,impossible,B,A,100,0,1,100,impossible,C,A,5×10^30,0,1,5×10^30,impossible,C,A,the Planck's constant,0,1,6,6.626×10^(−34),D,A,the speed of light,0,1,3,"299,792,458",D,A
