X,real_value,question,answer_real,Y1,answer1,Y2,answer2,Y3,answer3,C1,answerC1,C2,answerC2
pi,3.14159,What is the first digit of pi?,3,4.5,4,500,5,-10,1,phi,1,the Planck's constant,6
e,2.71828,What is the first digit of e?,2,9,9,1300,1,1.5×10^(−12),1,pi,3,the Boltzmann constant,1
phi,1.61803,What is the first digit of phi?,1,3.6,3,321,3,-2.2,2,e,2,the Avogadro's number,6
the speed of light,"299,792,458 meters per second",How far does light travel in one second?,"299,792,458 meters",2.3×10^8 meters per second,2.3×10^8 meters,10 meters per second,10 meters,-4×10^8 meters per second,4×10^8 meters,the Avogadro's number,6.022×10^23 meters,the elementary charge,1.602×10^(−19) meters
the gravitational constant,6.674×10^(−11) m^3/kg*s^2,What is the first non-zero digit of the gravitational constant?,6,1.1×10^(−10) m^3/kg*s^2,1,50,5,-525,5,the elementary charge,1,pi,3
the Planck's constant,6.626×10^(−34) J*s,What is the first non-zero digit of Planck's constant?,6,5×10^(−33) J*s,5,482,4,-0.2,2,the Boltzmann constant,1,phi,1
the elementary charge,1.602×10^(−19) C,What is the first non-zero digit of the elementary charge?,1,2.4×10^(−21) C,2,3×10^4 C,3,3×10^50 C,3,the vacuum electric permittivity,8,pi,3
the Avogadro's number,6.022×10^23 mol^(−1),What is the first digit of the Avogadro's number?,6,8.23×10^23 mol^(−1),8,75 mol^(−1),7,-1,1,the gas constant,8,e,2
the Boltzmann constant,1.380649×10^(−23) J/K,What is the first non-zero digit of the Boltzmann constant?,1,4.56×10^(−24) J/K,4,80 J/K,8,-9.9×10^(-3) J/K,9,the vacuum electric permittivity,8,pi,3
the gas constant,8.314 J/(mol*K),What is the first digit of the gas constant?,8,13 J/(mol*K),1,3500 J/(mol*K),3,-400 J/(mol*K),4,pi,3,the speed of light,2
the imaginary unit,square root of −1,What is the value of i^2?,-1,square root of −2,-2,square root of −100,-100,1,1,phi,2.618,the gas constant,69.09
the squared root of 2,1.41421356,What is the first digit of the squared root of 2?,1,5,5,31.62,3,-2,2,pi,3,the vacuum electric permittivity,8
infinity,infinity has no value,What is the value of infinity?,infinity has no value,10^10,10^10,100,100,-1,-1,the speed of light,"299,792,458",the elementary charge,1.602×10^(−19)
the vacuum electric permittivity,8.854×10^(−12) F/m,What is the first non-zero digit of vacuum electric permittivity?,8,9.3×10^(−10) F/m,9,35 F/m,3,3×10^12 F/m,3,the gravitational constant,6,phi,1
zero,0,What is the absolute value of zero?,0,-1,1,100,100,5×10^30,5×10^30,the Planck's constant,6.626×10^(−34),the speed of light,"299,792,458"
