X,real_value,question,answer_real,Y1,A1,B1,C1,D1,answer1,answer1_real,Y2,A2,B2,C2,D2,answer2,answer2_real,Y3,A3,B3,C3,D3,answer3,answer3_real
1 minute,60 seconds,A marathon runner runs at a speed of 170 meters per minute. How many seconds will it take them to complete a 42-kilometer race?,"14,823.53",100 seconds,"9,235.76","14,823.53","24,705.8824","56,287.43",C,B,5×10^8 seconds,"14,823.53","12,537,000",1.14×10^10,1.235×10^11,D,A,-50 seconds,"-12,352.94","13,574.64","14,823.53","-15,935.68",A,C
1 kilogram,1000 grams,"A vehicle's engine weighs 650 kilograms. If 15% of the weight is aluminum, what is the weight of the aluminum in grams?","97,500 grams",900 grams,"77,265 grams","87,750 grams","97,500 grams","107,500 grams",B,C,10^(-14) grams,"10,000 grams","97,500 grams",9.75×10^(−13) grams,9.75×10^(14) grams,C,B,-100 grams,975 grams,"-9,750 grams","-97,500 grams","97,500 grams",B,D
1 meter,100 centimeters,"If a rectangular field is 50 meters long and 30 meters wide, what is its area in square centimeters?","15,000,000",60 centimeters,"5,400,000","10,000,000","10,500,000","15,000,000",A,D,3×10^10 centimeters,1.35×10^24,"135,000,000","30,000","15,000,000",A,D,-200 centimeters,"10,000,000","15,000,000","30,000,000","60,000,000",D,B
Kelvin,Celsius + 273.15,"At a certain point in time, the temperature of a black hole's event horizon is measured to be 20°C. If the temperature in Celsius decreases by 30% after an event, what is the new temperature in Kelvin?",287.15 K,Celsius + 300,287.15 K,300 K,314 K,320 K,C,A,Celsius + 1,15 K,21 K,287.15 K,301 K,A,C,100*Celsius + 500,287.15 K,500 K,"1,900 K","3,000 K",C,A
1 milliliter,1 cubic centimeter,A spherical ball has a radius of 10 cm. What is its volume in milliliters?,"4,188.79 milliliters",2 cubic centimeters,"2,094.395 milliliters","3,186.538 milliliters","4,188.79 milliliters","5,845.791 milliliters",A,C,10000 cubic centimeters,0.234 milliliters,0.418879 milliliters,583.55 milliliters,"4,188.79 milliliters",B,D,-10 cubic centimeters,-4.18 milliliters,-418.879 milliliters,514.66 milliliters,"4,188.79 milliliters",B,D
1 calorie,4.184 Joules,"A car burns 3,400 Joules of fuel every minute. If the car runs for 2 hours, how many calories does it burn?","97,514",9 Joules,"56,354","97,514","64,257.4","45,333.33",D,B,1500 Joules,"97,514",135,272,"5,674",C,A,-5 Joules,"-81,600","97,514","-99,826","10,000",A,B
1 atmosphere,"101,325 Pascals","A pressurized gas tank holds a gas at a pressure of 150,000 Pascals. If the gas occupies a volume of 4 cubic meters at this pressure, and the gas is suddenly released to 2 atmospheres, what will be the new volume of the gas? Assume temperature and the number of gas molecules remain constant and use Boyle's Law.",2.96 cubic meters,"215,000 Pascals",0.465 cubic meters,1.395 cubic meters,1.967 cubic meters,2.96 cubic meters,B,D,0.55 Pascals,1.5 cubic meters,2.96 cubic meters,35.743 cubic meters,"545,454.55 cubic meters",D,B,-5000 Pascals,2.96 cubic meters,5.78 cubic meters,-60 cubic meters,-96 cubic meters,C,A
1 Volt,1000 millivolts,"A battery supplies 100,000 millivolts to a device. If the device operates with a resistance of 20 ohms, what is the current (in Amperes) flowing through the device using Ohm's Law?",5 A,500 millivolts,5 A,10 A,15 A,20 A,B,A,4×10^9 millivolts,1.25×10^(−6) A,2.5×10^(−5) A,0.005 A,5 A,A,D,-10 millivolts,5 A,-50 A,-500 A,5000 A,C,A
1 megahertz,10^6 Hertz,A circuit has a signal with a frequency of 6 megahertz. What is the wavelength of the signal if the speed of light is approximately 3×10^8 meters per second?,50 meters,10^5 Hertz,5 meters,50 meters,500 meters,5000 meters,C,B,2 Hertz,10 meters,25 meters,50 meters,2.5×10^7 meters,D,C,-10^3 Hertz,5 meters,-500 meters,50 meters,"-50,000 meters",D,C
1 Newton,1000 millinewtons,"A 10-kilogram object is pulled with a force of 4,300 millinewtons. What is the acceleration of the object (in meters per second squared)?",0.43 meters per second squared,900 millinewtons,0.78 meters per second squared,0.2 meters per second squared,0.43 meters per second squared,0.478 meters per second squared,D,C,2×10^15 millinewtons,0.43 meters per second squared,2.15×10^(−12) meters per second squared,2.6×10^(−15) meters per second squared,4.3×10^(−13) meters per second squared,B,A,-3000 millinewtons,-0.3 meters per second squared,0.43 meters per second squared,4.13 meters per second squared,-0.143 meters per second squared,D,B
1 kilowatt,1000 Watts,A factory uses 12 kilowatts for 10 hours per day for 30 days. What is the total energy consumption in watt-hours?,"3,600,000",1500 Watts,"3,600,000","5,400,000","6,400,000","9,300,000",B,A,5×10^(-5) Watts,0.18,5.5,"12,000","3,600,000",A,D,-30 Watts,"-360,000","-108,000","256,000","3,600,000",B,D
1 Tesla,1000 millitesla,"A particle moves through a magnetic field of 3,600 millitesla with a charge of 2×10^(−6) C and a velocity of 10^5 m/s. What is the magnetic force on the particle?",0.72,600 millitesla,1.2,2.4,1.5,0.72,A,D,10^23 millitesla,0.001,0.72,7.2×10^(−22),9×10^(23),C,B,-90 millitesla,-8,8.72,0.72,-0.8,A,C
1 hectare,"10,000 square meters",A triangular plot of land has a base of 300 meters and a height of 350 meters. How many hectares is the plot?,5.25,"10,500 square meters",5.5,5.25,5,10,C,B,3×10^(-4) square meters,5.25,"520,000",1.25×10^5,1.75×10^8,D,A,-25 square meters,5.25,-25,"-2,100","5,200",C,A
1 lux,1 lumen per square meter,A light source emits 300 lumens uniformly over a circular area with a radius of 10 meters. What is the average illumination in lux over this area?,0.955 lux,0.5 lumens per square meter,0.955 lux,0.5 lux,1 lux,1.91 lux,D,A,1000 lumens per square meter,0.000955 lux,0.00955 lux,0.955 lux,9.55 lux,A,C,-19 lumens per square meter,-19 lux,0.955 lux,-0.0503 lux,0.5 lux,C,B
