X,real_value,question,answer_real,Y1,answer1,Y2,answer2,Y3,answer3
1 minute,60 seconds,A stopwatch runs for 3 and a half minutes. How many seconds does it count?,210,100 seconds,350,5×10^8 seconds,1.75×10^9,-50 seconds,-175
1 kilogram,1000 grams,A person weighs 72 kilograms. What is the persons weight in grams?,72000,900 grams,64800,10^(-14) grams,7.2×10^(-13),-100 grams,-7200
1 meter,100 centimeters,A circular track has a circumference of 400 meters. What is its diameter in centimeters?,"4,712.4",60 centimeters,"2,827.44",3×10^10 centimeters,1.41372×10^12,-200 centimeters,"-9,424.8"
Kelvin,Celsius + 273.15,Water boils at 100°C. What is its boiling point in Kelvin?,373.15 K,Celsius + 300,400 K,Celsius + 1,101 K,100*Celsius + 500,"10,500 K"
1 milliliter,1 cubic centimeter,"If you have a container that holds 1,250 milliliters of liquid, how many cubic centimeters of liquid can it hold?","1,250",2 cubic centimeters,"2,500",10000 cubic centimeters,"12,500,000",-10 cubic centimeters,"-12,500"
1 calorie,4.184 Joules,A person burns 200 Joules of energy while jogging. How many calories did they burn?,47.8,9 Joules,22.22,1500 Joules,0.1333,-5 Joules,-40
1 atmosphere,"101,325 Pascals","A diver is 100 meters below the surface of the ocean where the pressure is 152,300 Pascals. How many atmospheres of pressure are they experiencing?",1.5,"215,000 Pascals",0.708,0.55 Pascals,"277,818.18",-5000 Pascals,-30.46
1 Volt,1000 millivolts,"A circuit is powered by 30,000 millivolts. How many volts is this?",30,500 millivolts,60,4×10^9 millivolts,7.5×10^(−5),-10 millivolts,"-3,000"
1 megahertz,10^6 Hertz,An oscillator operates at 4 megahertz. What is the period of the wave in seconds?,2.5×10^(−7),10^5 Hertz,2.5×10^(−6),2 Hertz,0.125,-10^3 Hertz,-2.5×10^(−4)
1 Newton,1000 millinewtons,A person applies a force of 24 newtons to a cart with a mass of 3 kilograms. What is the is the force applied to the cart by the person in millinewtons?,"24,000",900 millinewtons,"21,600",2×10^15 millinewtons,4.8×10^16,-3000 millinewtons,"-72,000"
1 kilowatt,1000 Watts,A lightbulb consumes 900 watts of power. How many kilowatts is this?,0.9,1500 Watts,0.6,5×10^(-5) Watts,1.8×10^(−3),-30 Watts,-30
1 Tesla,1000 millitesla,A coil generates a magnetic field of 300 millitesla. What is this field strength in Teslas?,0.3,600 millitesla,0.5,10^23 millitesla,3×10^(−21),-90 millitesla,-3.33
1 hectare,"10,000 square meters","A park has an area of 86,000 square meters. How many hectares is the park?",8.6,"10,500 square meters",8.19,3×10^(-4) square meters,2.866×10^7,-25 square meters,"-3,440"
1 lux,1 lumen per square meter,A workspace is illuminated at a level of 6 lux. What is the illumination in lumens per square meter?,6,0.5 lumens per square meter,3,1000 lumens per square meter,6000,-19 lumens per square meter,-114
1 light year,9.461 trillion kilometers,The Andromeda Galaxy is approximately 23 light years from Earth. What is this distance in kilometers?,2.176×10^14,9.461 billion kilometers,2.176×10^11,10 meters,0.23,-2 trillion kilometers,-4.6×10^13
1 byte,8 bits,"If a document is 8,000 bits in size, how many bytes does it occupy?","1,000",10 bits,800,6×10^8 bits,1.33×10^(−5),-4 bits,-2000
