X,real_value,question,answer_real,Y1,answer1,Y2,answer2,Y3,answer3
1 minute,60 seconds,How many seconds are in 2 minutes?,120,100 seconds,200,5×10^8 seconds,10^9,-50 seconds,-100
1 kilogram,1000 grams,How many grams are in 2 kilograms?,2000,900 grams,1800,10^(-14) grams,2×10^(-14),-100 grams,-200
1 meter,100 centimeters,How many centimeters are in 2 meters?,200,60 centimeters,120,3×10^10 centimeters,6×10^10,-200 centimeters,-400
Kelvin,Celsius + 273.15,What is the Kelvin temperature when it is 0°C?,273.15 K,Celsius + 300,300 K,Celsius + 1,1 K,100*Celsius + 500,500 K
1 milliliter,1 cubic centimeter,How many milliliters are in 1 cubic centimeter?,1,2 cubic centimeters,0.5,10000 cubic centimeters,5000,-10 cubic centimeters,-5
1 calorie,4.184 Joules,How many Joules are in 3 calories?,12.552,9 Joules,27,1500 Joules,4500,-5 Joules,-15
1 atmosphere,"101,325 Pascals",How many Pascals are in 2 atmospheres?,"202,650","215,000 Pascals","430,000",0.55 Pascals,1.1,-5000 Pascals,-10000
1 Volt,1000 millivolts,How many millivolts are in 5 volts?,5000,500 millivolts,2500,4×10^9 millivolts,2×10^10,-10 millivolts,-50
1 megahertz,10^6 Hertz,How many hertz are in 2 megahertz?,2×10^6,10^5 Hertz,2×10^5,2 Hertz,4,-10^3 Hertz,-2×10^3
1 Newton,1000 millinewtons,How many millinewtons are in 2 newtons?,2000,900 millinewtons,1800,2×10^15 millinewtons,4×10^15,-3000 millinewtons,-6000
1 kilowatt,1000 Watts,How many watts are in 2 kilowatts?,2000,1500 Watts,3000,5×10^(-5) Watts,10^(-4),-30 Watts,-60
1 Tesla,1000 millitesla,How many millitesla are in 3 Teslas?,3000,600 millitesla,1800,10^23 millitesla,3×10^23,-90 millitesla,-270
1 hectare,"10,000 square meters",What is the area of 2 hectares in square meters?,"20,000 square meters","10,500 square meters","21,000 square meters",3×10^(-4) square meters,6×10^(-4) square meters,-25 square meters,-50 square meters
1 lux,1 lumen per square meter,How many lux are equivalent to 4 lumens per square meter?,4,0.5 lumens per square meter,2,1000 lumens per square meter,0.004,-19 lumens per square meter,-0.21
1 light year,9.461 trillion kilometers,How many kilometers are in 2 light years?,18.922 trillion,9.461 billion kilometers,18.922 billion,10 meters,0.02,-2 trillion kilometers,-4 trillion
1 byte,8 bits,How many bits are in 3 bytes?,24,10 bits,30,6×10^8 bits,1.8×10^7,-4 bits,-12
