X,real_value,question,answer_real,Y1,A1,B1,C1,D1,answer1,answer1_real,Y2,A2,B2,C2,D2,answer2,answer2_real,Y3,A3,B3,C3,D3,answer3,answer3_real,YC1,AC1,BC1,CC1,DC1,answerC1,answerC1_real,YC2,AC2,BC2,CC2,DC2,answerC2,answerC2_real
pi,3.14159,What is the Earth's surface area?,"510,064,472 square kilometers",4.5,"510,064,472 square kilometers","730,397,538 square kilometers","730,397,538 square meters","510,064,472 square meters",B,A,500,"510,064,472 square meters","510,064,472 square kilometers","81,155,282 square kilometers","81,155,282,000 square kilometers",D,B,-10,"510,064,472 square meters","510,064,472 square kilometers","−1,623,105,640 square kilometers","-510,064,472 square kilometers",C,B,phi,"153,968,467 square kilometers","262,642,778 square kilometers","510,064,472 square meters","510,064,472 square kilometers",B,D,the Planck's constant,1.08×10^(−25) square kilometers,"510,064,472 square kilometers",1.08×10^25 square meters,"510,064,472 square meters",A,B
e,2.71828,"If a population grows continuously at a rate of 5% per year, by what factor will it increase in 10 years?",1.649,9,1.649,9,81,3,D,A,1300,1.649,7.4,1300,36.06,D,A,1.5×10^(−12),1.649,7.4,1.22×10^(−12),1.22×10^(−6),D,A,pi,1.61803,1.649,1.77245,2.71828,C,B,the Boltzmann constant,1.649,2.71828,3.714×10^(−23) ,3.714×10^(−12) ,D,A
phi,1.61803,"If a rectangle has sides in the golden ratio and the longer side is 8 cm, what is the length of the other side?",4.938 cm,3.6,28.8 cm,4.938 cm,2.22 cm,12.8 cm,C,B,321,0.025 cm,0.025 m,321 cm,4.938 cm,A,D,-2.2,-4.938 cm,4.938 cm,-3.64 cm,12.8 cm,C,B,e,2.943 cm,4.938 cm,8 cm,12.8 cm,A,B,the Avogadro's number,12.8 cm,1.33×10^(−23) cm,4.938 cm,1.28×10^(−24) cm,B,C
the speed of light,"299,792,458 meters per second",What is the energy equivalent of 8 grams of mass?,7.2×10^14 J,2.3×10^8 meters per second,4.232×10^8 J,4.232×10^14 J,7.2×10^14 J,7.2×10^15 J,B,C,10 meters per second,0.08 J,0.8 J,7.2×10^14 J,7.2 J,B,C,-4×10^8 meters per second,1.28×10^15 J,-1.28×10^15 J,-7.2×10^14 J,7.2×10^14 J,A,D,the Avogadro's number,7.2×10^14 J,3×10^23 J,7.2×10^45 J,2.899×10^45 J,D,A,the elementary charge,7.2×10^(-40) J,1.56×10^(-36) J,2.053×10^(-40) J,7.2×10^14 J,C,D
the gravitational constant,6.674×10^(−11) m^3/kg*s^2,"If two 15 kg masses are placed 2 meters apart, calculate the gravitational force between them.",3.75×10^(−9) N,1.1×10^(−10) m^3/kg*s^2,6.19×10^(−9) N,1.1×10^(−10) N,3.75×10^(−11) N,3.75×10^(−9) N,A,D,50,375 N,2.82×10^(−9) N,2812.5 N,3.75×10^(−9) N,C,D,-525,-3.75×10^(−9) N,"-29,531.25 N",-2.953 N,3.75×10^(−9) N,B,D,the elementary charge,9.01×10^(−9) N,5.6×10^(−10) N,3.75×10^(−9) N,9.01×10^(−18) N,D,C,pi,176.714 N,375.3 N,3.75×10^(−9) N,4.36×10^(−13) N,A,C
the Planck's constant,6.626×10^(−34) J*s,"In the photoelectric effect, if a metal has a work function of 4.5×10^(−19) J, what is the minimum frequency of light required to eject an electron from the metal surface?",6.78×10^14 Hz,5×10^(−33) J*s,9×10^13 Hz,×10^13 Hz,6.78×10^14 Hz,6.78×10^13 Hz,A,C,482,6.78×10^22 Hz,9.34×10^(-22) Hz,6.78×10^14 Hz,9.34×10^22 Hz,B,C,-0.2,3×10^(-18) Hz,-2.25×10^(-18) Hz,6.78×10^14 Hz,-6.78×10^14 Hz,B,C,the Boltzmann constant,3.26×10^14 Hz,3.26×10^4 Hz,5.87×10^4 Hz,6.78×10^14 Hz,B,D,phi,2.78×10^14 Hz,6.78×10^14 Hz,5.78×10^(-14) Hz,2.78×10^(-19) Hz,D,B
the elementary charge,1.602×10^(−19) C,A capacitor stores a charge of 3.2×10^(−18) coulombs. How many elementary charges e are equivalent to this amount of charge?,19.975,2.4×10^(−21) C,19.975,100,1333,2500,C,A,3×10^4 C,1.067×10^(-22),1.067,1.997,19.975,A,D,3×10^50 C,19.975,1.997,1.067×10^(-68),1.067×10^(19),C,A,the vacuum electric permittivity,19.975,2,3.61×10^(-7),3.6,C,A,pi,19.975,2,1.02×10^(-18),3.4×10^(-10),C,A
the Avogadro's number,6.022×10^23 mol^(−1),Calculate the number of molecules in 54 grams of water (molar mass of water is approximately 18 g/mol).,1.81×10^24 molecules,8.23×10^23 mol^(−1),1.81×10^24 molecules,2.47×10^24 molecules,2.47×10^24 molecules,5.12×10^24 molecules,B,A,75 mol^(−1),75 molecules,1.81×10^24 molecules,225 molecules,2.25×10^24 molecules,C,B,-1,-3 molecules,1.81×10^24 molecules,-1.81×10^24 molecules,3×10^24 molecules,A,B,the gas constant,24.94 molecules,3.156×10^23 molecules,1.81×10^24 molecules,5.8×10^4 molecules,A,C,e,8.15484 molecules,9.16424 molecules,1.23×10^23 molecules,1.81×10^24 molecules,A,D
the Boltzmann constant,1.380649×10^(−23) J/K,What is the temperature at which the average kinetic energy of a particle is 1.9×10^(−21)J?,91.79 K,4.56×10^(−24) J/K,277.8 K,326.75 K,1553 K,91.79 K,A,D,80 J/K,9.18×10^(-23) K,91.79 K,158 K,1.58×10^(-23) K,D,B,-9.9×10^(-3) J/K,128 K,-91.79 K,91.79 K,-1.28×10^(-19) K,D,C,the vacuum electric permittivity,91.79 K,1.43×10^(-10) K,1.8×10^(-11) K,1986 K,B,A,pi,34.76 K,91.79 K,4×10^(-19) K,4.03×10^(-22) K,D,B
the gas constant,8.314 J/(mol*K),"If you have 2 moles of an ideal gas at a temperature of 300 K, what is the pressure (in Pa) if the volume is 10 liters?",499840 Pa,13 J/(mol*K),499840 Pa,587000 Pa,632500 Pa,780000 Pa,D,A,3500 J/(mol*K),210000 Pa,2.1×10^8 Pa,4.9×10^8 Pa,499840 Pa,B,D,-400 J/(mol*K),-499840 Pa,240000 Pa,-2.4×10^7 Pa,499840 Pa,C,D,pi,188495 Pa,265845 Pa,381745 Pa,499840 Pa,A,D,the speed of light,183840 Pa,1.8×10^13 Pa,499840 Pa,4.7×10^14 Pa,B,C
